,patch,directory,lichen,class
0,Candelariella_reflexa_texture02_crop_ 1.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 1.jpg,Candelariella_reflexa,0
1,Candelariella_reflexa_texture02_crop_ 2.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 2.jpg,Candelariella_reflexa,0
2,Candelariella_reflexa_texture02_crop_ 3.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 3.jpg,Candelariella_reflexa,0
3,Candelariella_reflexa_texture02_crop_ 4.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 4.jpg,Candelariella_reflexa,0
4,Candelariella_reflexa_texture02_crop_ 5.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 5.jpg,Candelariella_reflexa,0
5,Candelariella_reflexa_texture02_crop_ 6.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 6.jpg,Candelariella_reflexa,0
6,Candelariella_reflexa_texture02_crop_ 7.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 7.jpg,Candelariella_reflexa,0
7,Candelariella_reflexa_texture02_crop_ 8.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 8.jpg,Candelariella_reflexa,0
8,Candelariella_reflexa_texture02_crop_ 9.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 9.jpg,Candelariella_reflexa,0
9,Candelariella_reflexa_texture02_crop_ 10.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 10.jpg,Candelariella_reflexa,0
10,Candelariella_reflexa_texture02_crop_ 11.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 11.jpg,Candelariella_reflexa,0
11,Candelariella_reflexa_texture02_crop_ 12.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 12.jpg,Candelariella_reflexa,0
12,Candelariella_reflexa_texture02_crop_ 13.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 13.jpg,Candelariella_reflexa,0
13,Candelariella_reflexa_texture02_crop_ 14.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 14.jpg,Candelariella_reflexa,0
14,Candelariella_reflexa_texture02_crop_ 15.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 15.jpg,Candelariella_reflexa,0
15,Candelariella_reflexa_texture02_crop_ 16.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture02_crop_ 16.jpg,Candelariella_reflexa,0
16,Candelariella_reflexa_texture03_crop_ 1.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 1.jpg,Candelariella_reflexa,0
17,Candelariella_reflexa_texture03_crop_ 2.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 2.jpg,Candelariella_reflexa,0
18,Candelariella_reflexa_texture03_crop_ 3.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 3.jpg,Candelariella_reflexa,0
19,Candelariella_reflexa_texture03_crop_ 4.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 4.jpg,Candelariella_reflexa,0
20,Candelariella_reflexa_texture03_crop_ 5.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 5.jpg,Candelariella_reflexa,0
21,Candelariella_reflexa_texture03_crop_ 6.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 6.jpg,Candelariella_reflexa,0
22,Candelariella_reflexa_texture03_crop_ 7.jpg,patches/test/Candelariella_reflexa/Candelariella_reflexa_texture03_crop_ 7.jpg,Candelariella_reflexa,0
